Town,RawCount
Paranhos,300
Cascais e Estoril,186
Albufeira e Olhos de Água,183
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",138
Portimão,119
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",116
Carcavelos e Parede,111
Canidelo,109
Quarteira,99
São Sebastião,99
Queluz e Belas,93
Matosinhos e Leça da Palmeira,93
Rio de Mouro,93
Montijo e Afonsoeiro,92
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",90
Buarcos e São Julião,89
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",87
"Seixal, Arrentela e Aldeia de Paio Pires",87
Arroios,84
Santa Marinha e São Pedro da Afurada,81
Algueirão-Mem Martins,81
Estrela,77
São Vicente,75
Covilhã e Canhoso,74
Mina de Água,73
"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",71
Odivelas,71
Misericórdia,71
Palmela,70
Charneca de Caparica e Sobreda,70
São Domingos de Rana,70
Mafamude e Vilar do Paraíso,69
Santo António,69
Bonfim,69
"Leiria, Pousos, Barreira e Cortes",67
Avenidas Novas,67
São João das Lampas e Terrugem,66
Corroios,65
"Almada, Cova da Piedade, Pragal e Cacilhas",63
Santa Maria Maior,63
Esgueira,63
Venteira,62
Loures,61
Santo António dos Cavaleiros e Frielas,61
Alverca do Ribatejo e Sobralinho,60
Ramalde,60
"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",59
Cacém e São Marcos,59
Agualva e Mira-Sintra,58
São Mamede de Infesta e Senhora da Hora,58
Santo António dos Olivais,57
Massamá e Monte Abraão,57
Pombal,56
Alcabideche,56
Glória e Vera Cruz,54
Rio Tinto,53
Santiago (Sesimbra),52
Laranjeiro e Feijó,51
Cidade da Maia,51
Fânzeres e São Pedro da Cova,51
Carnaxide e Queijas,51
Azeitão (São Lourenço e São Simão),51
Vialonga,51
Amora,50
"Gondomar (São Cosme), Valbom e Jovim",49
Campanhã,49
Alvalade,49
Lumiar,49
Colares,48
Benfica,48
Marinha Grande,48
Fernão Ferro,47
São Domingos de Benfica,46
"Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",45
Pontinha e Famões,44
Lordelo do Ouro e Massarelos,44
"Almargem do Bispo, Pêro Pinheiro e Montelavar",44
Penha de França,44
Lourinhã e Atalaia,43
Castelo (Sesimbra),42
Faro (Sé e São Pedro),42
"Ovar, São João, Arada e São Vicente de Pereira Jusã",42
Lousã e Vilarinho,41
São Gonçalo de Lagos,41
Quinta do Anjo,40
"Perafita, Lavra e Santa Cruz do Bispo",40
São Felix da Marinha,40
Campolide,40
Castelo Branco,40
Belém,40
Espinho,39
Vila Franca de Xira,38
"Alto do Seixalinho, Santo André e Verderena",38
Ramada e Caneças,38
Águas Santas,38
"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",38
"Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",37
Alcochete,36
"Póvoa de Varzim, Beiriz e Argivai",36
Olivais,36
Águas Livres,35
Nazaré,35
Póvoa de Santa Iria e Forte da Casa,35
Azurém,35
"Valença, Cristelo Covo e Arão",35
Barreiro e Lavradio,35
"Santa Iria de Azoia, São João da Talha e Bobadela",35
Gulpilhares e Valadares,35
Tomar (São João Baptista) e Santa Maria dos Olivais,34
Alenquer (Santo Estêvão e Triana),34
Oliveira do Douro,34
Carregado e Cadafais,34
