Town,Count
Carrazedo de Montenegro e Curros,13
São Brás de Alportel,121
Albufeira e Olhos de Água,1433
Altura,58
Portimão,1054
São Clemente,131
Budens,55
Moncarapacho e Fuseta,146
Faro (Sé e São Pedro),478
São Gonçalo de Lagos,296
Quarteira,889
Vila do Bispo e Raposeira,58
Olhão,188
Peniche,98
Vila Nova de Cacela,100
Conceição e Estoi,120
Alcoutim e Pereiro,131
Alvor,207
São Sebastião,728
Boliqueime,117
Vila Real de Santo António,128
Estômbar e Parchal,135
Montenegro,130
Silves,72
Aljezur,75
Tavira (Santa Maria e Santiago),213
Armação de Pêra,186
Paderne,61
Alte,27
Almancil,156
Quelfes,110
Pechão,40
"Aldoar, Foz do Douro e Nevogilde",273
Odeceixe,13
Sagres,77
Lagoa e Carvoeiro,122
Ferragudo,60
Monchique,50
Luz,104
Ferreiras,28
Mexilhoeira Grande,52
Conceição e Cabanas de Tavira,149
São Bartolomeu de Messines,170
Porches,51
"Querença, Tôr e Benafim",37
Santa Bárbara de Nexe,76
Azinhal,44
São Marcos da Serra,54
Odiáxere,13
Castro Marim,105
Santa Catarina Fonte Bispo,36
Guia,109
Bensafrim e Barão de São João,51
Algoz e Tunes,97
Luz de Tavira e Santo Estêvão,130
Alcantarilha e Pêra,64
Ameixial,3
Martim Longo,19
Monte Gordo,88
Algueirão-Mem Martins,676
Marmelete,22
Odeleite,28
Bordeira,24
Salir,27
Giões,7
Barão de São Miguel,12
Santiago,43
Frazão Arreigada,38
Vale de Amoreira,19
Escalhão,29
Carragozela e Várzea de Meruge,10
Guardão,45
Freches e Torres,16
Vila Nova de Tazem,12
Vila Nova de Foz Côa,29
Pinhanços,5
Loriga,8
Benespera,8
Melo e Nabais,20
Vilar Formoso,37
Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,41
Adão,3
Moimenta da Serra e Vinhó,6
Cavadoude,4
Azeitão (São Lourenço e São Simão),392
Rabaçal,2
"Perafita, Lavra e Santa Cruz do Bispo",243
Misericórdia,512
Santa Marinha e São Martinho,18
"Juncais, Vila Ruiva e Vila Soeiro do Chão",12
"Seia, São Romão e Lapa dos Dinheiros",149
Sequeiros e Gradiz,8
Tourais e Lajes,38
São Pedro,114
Santa Maria,18
Santiago da Guarda,125
Guarda,82
Prova e Casteição,2
Pinhel,21
Ajuda,126
Gonçalo,21
"Torre do Terrenho, Sebadelhe da Serra e Terrenho",4
Junça e Naves,4
Casteleiro,10
Rio Torto e Lagarinhos,7
Sameice e Santa Eulália,7
Santa Clara e Castelo Viegas,218
Pínzio,3
Vila Cova Ã  Coelheira,8
Torrozelo e Folhadosa,9
Freixo de Numão,5
Vila Franca das Naves e Feital,15
Alverca da Beira/Bouça Cova,14
São Paio,21
Algodres,14
Azambuja,164
Lajeosa do Mondego,8
Trancoso (São Pedro e Santa Maria) e Souto Maior,23
"Bustelo, Carneiro e Carvalho de Rei",28
Paranhos,2228
"Mêda, Outeiro de Gatos e Fonte Longa",9
Palhais,4
Figueira de Castelo Rodrigo,13
Sabugal e Aldeia de Santo António,8
Vide e Cabeça,8
Lamegal,3
Santana da Azinha,4
Fornos de Algodres,17
Póvoa do Concelho,2
Sebadelhe,4
Almeida,6
Marinha Grande,291
Gouveia (São Pedro e São Julião),15
Nespereira,28
Longroiva,5
Maçainhas,11
Aldeia do Bispo,2
Santa Comba,10
Sameiro,11
Ranhados,2
Cerdeira,9
