k,memory_bytes
5,856
10,1736
15,2776
20,3376
25,5032
30,5488
35,6064
40,6656
45,9648
50,10216
55,10840
60,11368
65,12024
70,12568
75,13056
80,13648
85,14264
90,19416
95,20056
100,20560
105,21112
110,21696
115,22256
120,22824
125,23272
130,23840
135,24376
140,24920
145,25624
150,26152
155,26664
160,27400
165,27856
170,28480
175,38304
180,38832
185,39568
190,40032
195,40720
200,41248
205,41936
210,42520
215,43048
220,43680
225,44240
230,44728
235,45328
240,45864
245,46464
250,47008
255,47536
260,48152
265,48672
270,49344
275,49840
280,50520
285,50856
290,51392
295,52008
300,52528
305,53040
310,53680
315,54160
320,54792
325,55320
330,56040
335,56560
340,57280
345,76192
350,76856
355,77336
360,77896
365,78304
370,79048
375,79584
380,80096
385,80760
390,81240
395,81816
400,82360
405,77160
410,76936
415,77032
420,77200
425,77536
430,77928
435,78336
440,78608
445,79152
450,79440
455,79976
460,80408
465,80672
470,81112
475,81496
480,82008
485,82552
490,82952
495,83184
500,83584
505,84224
510,84552
515,84984
520,85408
525,85800
530,86312
535,86704
540,87048
545,87520
550,88056
555,88664
560,88840
565,89256
570,89576
575,90104
580,90544
585,90936
590,91320
595,91672
600,92088
605,92544
610,93168
615,93232
620,93848
625,94344
630,94816
635,95184
640,95696
645,96368
650,96656
655,97136
660,97272
665,98168
670,98264
675,98664
680,99360
685,136576
690,137072
695,137480
700,137848
705,138200
710,138880
715,138968
720,139296
725,139968
730,140392
735,140432
740,140896
745,141184
750,141368
755,141944
760,142632
765,143072
770,143504
775,143888
780,144320
785,144712
790,145320
795,145560
800,146008
805,146184
810,146744
815,147192
820,147552
825,148136
830,148328
835,148688
840,149072
845,149528
850,149904
855,150384
860,150664
865,150832
870,151600
875,152000
880,152288
885,152768
890,152968
895,153408
900,153848
905,154384
910,154664
915,154944
920,155568
925,155840
930,156184
935,156504
940,156904
945,157432
950,157912
955,158232
960,158784
965,159120
970,159616
975,160016
980,160176
985,160856
990,161216
995,161688
1000,162024
1005,162440
1010,162848
1015,163320
1020,163520
1025,164040
1030,164424
1035,164880
1040,165216
1045,165808
1050,166040
1055,166648
1060,166872
1065,167376
1070,167696
1075,168168
1080,168424
1085,168904
1090,169144
1095,169704
1100,170048
1105,170376
1110,170968
1115,171112
1120,171680
1125,172016
1130,172360
1135,172888
1140,173024
1145,173616
1150,173912
1155,174312
1160,174792
1165,174888
1170,175432
1175,175608
1180,175928
1185,176416
1190,176688
1195,177200
1200,177560
1205,177792
1210,178208
1215,178544
1220,178888
1225,179432
1230,179456
1235,180176
1240,180512
1245,180696
1250,181264
1255,181576
1260,181928
1265,182256
1270,182576
1275,183160
1280,183448
1285,183872
1290,184304
1295,184600
1300,184944
1305,185328
1310,185696
1315,186200
1320,186368
1325,186992
1330,187272
1335,187736
1340,188024
1345,188592
1350,188760
1355,189176
1360,189560
1365,190184
1370,264248
1375,264432
1380,264952
1385,265304
1390,265712
1395,265960
1400,266408
1405,266800
1410,267152
1415,267592
1420,267904
1425,268448
1430,268832
1435,269152
1440,269552
1445,269944
1450,270296
1455,270824
1460,271136
1465,271448
1470,271800
1475,272296
1480,272616
1485,272992
1490,273320
1495,273760
1500,274256
1505,274584
1510,274864
1515,275416
1520,275704
1525,276144
1530,276512
1535,276840
1540,277240
1545,277744
1550,278072
1555,278480
1560,278824
1565,279304
1570,279704
1575,280024
1580,280568
1585,280904
1590,281240
1595,281688
1600,282072
1605,282528
1610,282944
1615,283336
1620,283600
1625,283952
1630,284352
1635,284816
1640,285200
1645,285576
1650,285936
1655,286320
1660,286728
1665,287224
1670,287528
1675,287856
1680,288120
1685,288472
1690,289016
1695,289376
1700,289824
1705,290112
1710,290448
1715,290808
1720,291280
1725,291864
1730,292080
1735,292416
1740,292856
1745,293280
1750,293672
1755,293872
1760,294464
1765,294688
1770,295144
1775,295520
1780,295880
1785,296208
1790,296640
1795,296920
1800,297320
1805,297800
1810,298240
1815,298584
1820,298920
1825,299296
1830,299744
1835,300232
1840,300680
1845,301000
1850,301328
1855,301608
1860,302048
1865,302408
1870,303032
1875,303448
1880,303792
1885,304088
1890,304528
1895,304936
1900,305320
1905,305504
1910,306000
1915,306416
1920,306728
1925,307176
1930,307576
1935,308000
1940,308344
1945,308656
1950,309080
1955,309592
1960,310024
1965,310488
1970,310776
1975,311152
1980,311528
1985,311920
1990,312216
1995,312584
2000,312976
2005,313416
2010,313640
2015,314008
2020,314352
2025,314832
2030,315128
2035,315576
2040,315864
2045,316336
2050,316648
2055,316944
2060,243560
2065,243992
2070,244304
2075,244672
2080,245112
2085,245448
2090,245824
2095,246160
2100,246552
2105,246952
2110,247368
2115,247712
2120,248088
2125,248520
2130,248928
2135,249312
2140,249768
2145,250112
2150,250472
2155,250848
2160,251128
2165,251384
2170,251752
2175,252184
2180,252496
2185,252944
2190,253400
2195,253760
2200,254248
